Date,Type,region,number,change,growth,log_RR,country
2020-03-19,intensive,Region Hovedstaden,13,3,0.3,0.11394335230683678,Denmark
2020-03-20,intensive,Region Hovedstaden,16,3,0.23076923076923078,0.09017663034908803,Denmark
2020-03-21,intensive,Region Hovedstaden,17,1,0.0625,0.026328938722349145,Denmark
2020-03-22,intensive,Region Hovedstaden,22,5,0.29411764705882354,0.11197375944393234,Denmark
2020-03-23,intensive,Region Hovedstaden,29,7,0.3181818181818182,0.11997531707674983,Denmark
2020-03-24,intensive,Region Hovedstaden,33,4,0.13793103448275862,0.05611594197893141,Denmark
2020-03-25,intensive,Region Hovedstaden,39,6,0.18181818181818182,0.07255066714861175,Denmark
2020-03-26,intensive,Region Hovedstaden,42,3,0.07692307692307693,0.032184683371401235,Denmark
2020-03-27,intensive,Region Hovedstaden,53,11,0.2619047619047619,0.10102657920288857,Denmark
2020-03-28,intensive,Region Hovedstaden,58,5,0.09433962264150944,0.039152123962148226,Denmark
2020-03-29,intensive,Region Hovedstaden,60,2,0.034482758620689655,0.014723256820706378,Denmark
2020-03-30,intensive,Region Hovedstaden,63,3,0.05,0.021189299069938092,Denmark
2020-03-31,intensive,Region Hovedstaden,68,5,0.07936507936507936,0.03316836325265459,Denmark
2020-04-01,intensive,Region Hovedstaden,260,192,2.823529411764706,0.5824644352645817,Denmark
2020-03-16,respirator,Region Hovedstaden,,,,,Denmark
2020-03-17,respirator,Region Hovedstaden,,,,,Denmark
2020-03-18,respirator,Region Hovedstaden,,,,,Denmark
2020-03-19,respirator,Region Hovedstaden,10,,,,Denmark
2020-03-20,respirator,Region Hovedstaden,13,3,0.3,0.11394335230683678,Denmark
2020-03-21,respirator,Region Hovedstaden,14,1,0.07692307692307693,0.032184683371401235,Denmark
2020-03-22,respirator,Region Hovedstaden,20,6,0.42857142857142855,0.15490195998574316,Denmark
2020-03-23,respirator,Region Hovedstaden,23,3,0.15,0.06069784035361165,Denmark
2020-03-24,respirator,Region Hovedstaden,27,4,0.17391304347826086,0.06963592814139438,Denmark
2020-03-25,respirator,Region Hovedstaden,33,6,0.2222222222222222,0.0871501757189002,Denmark
2020-03-26,respirator,Region Hovedstaden,32,-1,-0.030303030303030304,-0.01336396155798149,Denmark
2020-03-27,respirator,Region Hovedstaden,43,11,0.34375,0.12831847725968057,Denmark
2020-03-28,respirator,Region Hovedstaden,50,7,0.16279069767441862,0.0655015487564323,Denmark
2020-03-29,respirator,Region Hovedstaden,55,5,0.1,0.04139268515822507,Denmark
2020-03-30,respirator,Region Hovedstaden,57,2,0.03636363636363636,0.015512166178247558,Denmark
2020-03-31,respirator,Region Hovedstaden,65,8,0.14035087719298245,0.05703850097036417,Denmark
2020-04-01,respirator,Region Hovedstaden,62,-3,-0.046153846153846156,-0.020521667144601723,Denmark
2020-03-16,hospitalized,Region Midtjylland,8,,,,Denmark
2020-03-17,hospitalized,Region Midtjylland,12,4,0.5,0.17609125905568124,Denmark
2020-03-18,hospitalized,Region Midtjylland,16,4,0.3333333333333333,0.12493873660829992,Denmark
2020-03-19,hospitalized,Region Midtjylland,19,3,0.1875,0.07463361829690418,Denmark
2020-03-20,hospitalized,Region Midtjylland,23,4,0.21052631578947367,0.08297423506476391,Denmark
2020-03-21,hospitalized,Region Midtjylland,20,-3,-0.13043478260869565,-0.0606978403536117,Denmark
2020-03-22,hospitalized,Region Midtjylland,22,2,0.1,0.04139268515822507,Denmark
2020-03-23,hospitalized,Region Midtjylland,28,6,0.2727272727272727,0.10473535052001297,Denmark
2020-03-24,hospitalized,Region Midtjylland,40,12,0.42857142857142855,0.15490195998574316,Denmark
2020-03-25,hospitalized,Region Midtjylland,56,16,0.4,0.146128035678238,Denmark
2020-03-26,hospitalized,Region Midtjylland,52,-4,-0.07142857142857142,-0.03218468337140124,Denmark
2020-03-27,hospitalized,Region Midtjylland,59,7,0.1346153846153846,0.05484866800734502,Denmark
2020-03-28,hospitalized,Region Midtjylland,68,9,0.15254237288135594,0.06165690106409214,Denmark
2020-03-29,hospitalized,Region Midtjylland,66,-2,-0.029411764705882353,-0.012964977164367647,Denmark
2020-03-30,hospitalized,Region Midtjylland,67,1,0.015151515151515152,0.006530867158957755,Denmark
2020-03-31,hospitalized,Region Midtjylland,69,2,0.029850746268656716,0.012774288036428919,Denmark
2020-04-01,hospitalized,Region Midtjylland,77,8,0.11594202898550725,0.04764163443522658,Denmark
2020-03-16,intensive,Region Midtjylland,2,,,,Denmark
2020-03-17,intensive,Region Midtjylland,3,1,0.5,0.17609125905568124,Denmark
2020-03-18,intensive,Region Midtjylland,4,1,0.3333333333333333,0.12493873660829992,Denmark
2020-03-19,intensive,Region Midtjylland,5,1,0.25,0.09691001300805642,Denmark
2020-03-20,intensive,Region Midtjylland,5,0,0,0,Denmark
2020-03-21,intensive,Region Midtjylland,6,1,0.2,0.07918124604762482,Denmark
2020-03-22,intensive,Region Midtjylland,5,-1,-0.16666666666666666,-0.07918124604762482,Denmark
2020-03-23,intensive,Region Midtjylland,6,1,0.2,0.07918124604762482,Denmark
2020-03-24,intensive,Region Midtjylland,12,6,1,0.3010299956639812,Denmark
2020-03-25,intensive,Region Midtjylland,17,5,0.4166666666666667,0.1512676753306491,Denmark
2020-03-26,intensive,Region Midtjylland,17,0,0,0,Denmark
2020-03-27,intensive,Region Midtjylland,19,2,0.11764705882352941,0.04830467957455504,Denmark
2020-03-28,intensive,Region Midtjylland,21,2,0.10526315789473684,0.04346569378109026,Denmark
2020-03-29,intensive,Region Midtjylland,26,5,0.23809523809523808,0.09275405323689871,Denmark
2020-03-30,intensive,Region Midtjylland,22,-4,-0.15384615384615385,-0.07255066714861173,Denmark
2020-03-31,intensive,Region Midtjylland,24,2,0.09090909090909091,0.037788560889399754,Denmark
2020-04-01,intensive,Region Midtjylland,77,53,2.2083333333333335,0.5062794834608759,Denmark
2020-03-16,respirator,Region Midtjylland,,,,,Denmark
2020-03-17,respirator,Region Midtjylland,3,,,,Denmark
2020-03-18,respirator,Region Midtjylland,4,1,0.3333333333333333,0.12493873660829992,Denmark
2020-03-19,respirator,Region Midtjylland,5,1,0.25,0.09691001300805642,Denmark
2020-03-20,respirator,Region Midtjylland,5,0,0,0,Denmark
2020-03-21,respirator,Region Midtjylland,5,0,0,0,Denmark
2020-03-22,respirator,Region Midtjylland,5,0,0,0,Denmark
2020-03-23,respirator,Region Midtjylland,6,1,0.2,0.07918124604762482,Denmark
2020-03-24,respirator,Region Midtjylland,12,6,1,0.3010299956639812,Denmark
2020-03-25,respirator,Region Midtjylland,15,3,0.25,0.09691001300805642,Denmark
2020-03-26,respirator,Region Midtjylland,16,1,0.06666666666666667,0.028028723600243534,Denmark
2020-03-27,respirator,Region Midtjylland,14,-2,-0.125,-0.057991946977686754,Denmark
2020-03-28,respirator,Region Midtjylland,17,3,0.21428571428571427,0.08432088570003587,Denmark
2020-03-29,respirator,Region Midtjylland,19,2,0.11764705882352941,0.04830467957455504,Denmark
2020-03-30,respirator,Region Midtjylland,19,0,0,0,Denmark
2020-03-31,respirator,Region Midtjylland,20,1,0.05263157894736842,0.02227639471115221,Denmark
2020-04-01,respirator,Region Midtjylland,22,2,0.1,0.04139268515822507,Denmark
2020-03-16,hospitalized,Region Nordjylland,6,,,,Denmark
2020-03-17,hospitalized,Region Nordjylland,6,0,0,0,Denmark
2020-03-18,hospitalized,Region Nordjylland,10,4,0.6666666666666666,0.22184874961635634,Denmark
2020-03-19,hospitalized,Region Nordjylland,11,1,0.1,0.04139268515822507,Denmark
2020-03-20,hospitalized,Region Nordjylland,14,3,0.2727272727272727,0.10473535052001297,Denmark
2020-03-21,hospitalized,Region Nordjylland,15,1,0.07142857142857142,0.029963223377443202,Denmark
2020-03-22,hospitalized,Region Nordjylland,17,2,0.13333333333333333,0.054357662322592676,Denmark
2020-03-23,hospitalized,Region Nordjylland,17,0,0,0,Denmark
2020-03-24,hospitalized,Region Nordjylland,20,3,0.17647058823529413,0.07058107428570727,Denmark
2020-03-25,hospitalized,Region Nordjylland,23,3,0.15,0.06069784035361165,Denmark
2020-03-26,hospitalized,Region Nordjylland,27,4,0.17391304347826086,0.06963592814139438,Denmark
2020-03-27,hospitalized,Region Nordjylland,30,3,0.1111111111111111,0.04575749056067514,Denmark
2020-03-28,hospitalized,Region Nordjylland,27,-3,-0.1,-0.045757490560675115,Denmark
