Date,Type,number,change,growth,log_RR,country
2020-03-26,respirator,70,13,0.22807017543859648,0.08922318434176545,Norway
2020-03-27,respirator,77,7,0.1,0.04139268515822507,Norway
2020-03-28,respirator,84,7,0.09090909090909091,0.037788560889399754,Norway
2020-03-29,respirator,91,7,0.08333333333333333,0.03476210625921191,Norway
2020-03-30,respirator,97,6,0.06593406593406594,0.027730341945151244,Norway
2020-03-31,respirator,97,0,0,0,Norway
2020-04-01,respirator,99,2,0.020618556701030927,0.008863460331305032,Norway
2020-04-02,respirator,96,-3,-0.030303030303030304,-0.01336396155798149,Norway
2020-04-03,respirator,96,0,0,0,Norway
2020-04-04,respirator,98,2,0.020833333333333332,0.008954842652926412,Norway
